Timestamp,Jobcode,Imagename,Noise,G9,3,5,10,20,30,50,100,150,300,
222016_5:2:31,nJZY8R0g,test_images/Larger/kochSnowflake.png,6,R9,19313,15101,11390,6911,3972,1512,378,168,42,
222016_5:2:45,nJZY8R0g,test_images/Larger/kochSnowflake.png,7,R9,20889,16583,12509,7262,4044,1512,378,168,42,
222016_5:3:0,nJZY8R0g,test_images/Larger/kochSnowflake.png,8,R9,22918,18440,13844,7718,4093,1512,378,168,42,
222016_5:3:14,nJZY8R0g,test_images/Larger/kochSnowflake.png,9,R9,24676,20073,15038,8079,4139,1512,378,168,42,
222016_5:3:28,nJZY8R0g,test_images/Larger/kochSnowflake.png,10,R9,26564,21821,16214,8300,4155,1512,378,168,42,
222016_5:3:42,nJZY8R0g,test_images/Larger/kochSnowflake.png,11,R9,28100,23180,17074,8449,4174,1512,378,168,42,
222016_5:3:57,nJZY8R0g,test_images/Larger/kochSnowflake.png,12,R9,29649,24600,17948,8670,4188,1512,378,168,42,
222016_5:4:11,nJZY8R0g,test_images/Larger/kochSnowflake.png,13,R9,31670,26455,19105,8802,4190,1512,378,168,42,
222016_5:4:26,nJZY8R0g,test_images/Larger/kochSnowflake.png,14,R9,33316,27894,19952,8931,4195,1512,378,168,42,
222016_5:4:41,nJZY8R0g,test_images/Larger/kochSnowflake.png,15,R9,35312,29615,20913,9021,4197,1512,378,168,42,
222016_5:4:57,nJZY8R0g,test_images/Larger/kochSnowflake.png,16,R9,36870,31107,21693,9084,4194,1512,378,168,42,
222016_5:5:14,nJZY8R0g,test_images/Larger/kochSnowflake.png,17,R9,38474,32425,22519,9163,4199,1512,378,168,42,
222016_5:5:27,nJZY8R0g,test_images/Larger/kochSnowflake.png,18,R9,40614,34252,23324,9221,4199,1512,378,168,42,
222016_5:5:40,nJZY8R0g,test_images/Larger/kochSnowflake.png,19,R9,41939,35372,23978,9252,4198,1512,378,168,42,
222016_5:5:54,nJZY8R0g,test_images/Larger/kochSnowflake.png,20,R9,43839,37032,24704,9299,4199,1512,378,168,42,
222016_5:6:8,nJZY8R0g,test_images/Larger/kochSnowflake.png,30,R9,60659,50627,29894,9422,4200,1512,378,168,42,
222016_5:6:20,nJZY8R0g,test_images/Larger/kochSnowflake.png,40,R9,76671,62528,32983,9447,4200,1512,378,168,42,
222016_5:6:33,nJZY8R0g,test_images/Larger/kochSnowflake.png,50,R9,91909,73073,34884,9449,4200,1512,378,168,42,
222016_5:6:45,nJZY8R0g,test_images/Larger/kochSnowflake.png,70,R9,121576,91339,36813,9450,4200,1512,378,168,42,
222016_5:6:56,nJZY8R0g,test_images/Larger/kochSnowflake.png,100,R9,160552,110688,37598,9450,4200,1512,378,168,42,
222016_5:7:5,nJZY8R0g,test_images/Larger/kochSnowflake.png,150,R9,215622,130238,37786,9450,4200,1512,378,168,42,
222016_5:7:14,nJZY8R0g,test_images/Larger/kochSnowflake.png,200,R9,260677,140672,37799,9450,4200,1512,378,168,42,
222016_5:7:22,nJZY8R0g,test_images/Larger/kochSnowflake.png,300,R9,324711,148781,37800,9450,4200,1512,378,168,42,
222016_5:7:29,nJZY8R0g,test_images/Larger/kochSnowflake.png,400,R9,364532,150680,37800,9450,4200,1512,378,168,42,
222016_5:7:36,nJZY8R0g,test_images/Larger/kochSnowflake.png,500,R9,388863,151077,37800,9450,4200,1512,378,168,42,
222016_5:7:41,nJZY8R0g,test_images/Larger/kochSnowflake.png,600,R9,403287,151188,37800,9450,4200,1512,378,168,42,
222016_5:7:47,nJZY8R0g,test_images/Larger/kochSnowflake.png,700,R9,411343,151196,37800,9450,4200,1512,378,168,42,
222016_5:7:52,nJZY8R0g,test_images/Larger/kochSnowflake.png,800,R9,415796,151200,37800,9450,4200,1512,378,168,42,
222016_5:7:56,nJZY8R0g,test_images/Larger/kochSnowflake.png,900,R9,418165,151200,37800,9450,4200,1512,378,168,42,
222016_5:8:2,nJZY8R0g,test_images/Larger/kochSnowflake.png,1000,R9,419188,151200,37800,9450,4200,1512,378,168,42,
222016_5:8:6,nJZY8R0g,test_images/Larger/kochSnowflake.png,1100,R9,419717,151200,37800,9450,4200,1512,378,168,42,
222016_5:8:11,nJZY8R0g,test_images/Larger/kochSnowflake.png,1200,R9,419887,151200,37800,9450,4200,1512,378,168,42,
222016_5:8:15,nJZY8R0g,test_images/Larger/kochSnowflake.png,1300,R9,419956,151200,37800,9450,4200,1512,378,168,42,
222016_5:8:19,nJZY8R0g,test_images/Larger/kochSnowflake.png,1400,R9,419991,151200,37800,9450,4200,1512,378,168,42,
222016_5:8:24,nJZY8R0g,test_images/Larger/kochSnowflake.png,1500,R9,419998,151200,37800,9450,4200,1512,378,168,42,
222016_5:8:28,nJZY8R0g,test_images/Larger/kochSnowflake.png,1700,R9,420000,151200,37800,9450,4200,1512,378,168,42,
222016_5:8:33,nJZY8R0g,test_images/Larger/kochSnowflake.png,1900,R9,420000,151200,37800,9450,4200,1512,378,168,42,
722016_12:25:36,7Awcmjqj,test_images/Larger/kochSnowflake.png,0,R9,8198,4343,1915,780,468,217,100,54,18,
722016_12:25:49,7Awcmjqj,test_images/Larger/kochSnowflake.png,1,R9,10007,6139,3636,2325,1787,1112,375,168,42,
722016_12:26:2,7Awcmjqj,test_images/Larger/kochSnowflake.png,2,R9,11823,7896,5269,3612,2668,1402,378,168,42,
722016_12:26:15,7Awcmjqj,test_images/Larger/kochSnowflake.png,3,R9,13755,9790,6934,4668,3223,1478,378,168,42,
722016_12:26:28,7Awcmjqj,test_images/Larger/kochSnowflake.png,4,R9,15645,11613,8523,5581,3580,1503,378,168,42,
722016_12:26:40,7Awcmjqj,test_images/Larger/kochSnowflake.png,5,R9,17589,13462,10037,6398,3826,1511,378,168,42,
722016_12:26:53,7Awcmjqj,test_images/Larger/kochSnowflake.png,6,R9,19084,14889,11170,6819,3954,1511,378,168,42,
722016_12:27:5,7Awcmjqj,test_images/Larger/kochSnowflake.png,7,R9,21067,16788,12612,7323,4057,1512,378,168,42,
722016_12:27:17,7Awcmjqj,test_images/Larger/kochSnowflake.png,8,R9,22810,18433,13878,7748,4097,1512,378,168,42,
722016_12:27:29,7Awcmjqj,test_images/Larger/kochSnowflake.png,9,R9,24565,19982,14887,7984,4131,1512,378,168,42,
722016_12:27:41,7Awcmjqj,test_images/Larger/kochSnowflake.png,10,R9,26409,21650,16027,8273,4152,1512,378,168,42,
